time          total        used        free      shared  buff/cache   available
Mem:        3935120      722604     3011458           1      201056     3195591
Mem:        3935120      722603     3011460           1      201056     3195592
Mem:        3935120      722603     3011460           1      201056     3195593
Mem:        3935120      722602     3011461           1      201056     3195593
Mem:        3935120      722602     3011461           1      201056     3195593
Mem:        3935120      722602     3011461           1      201056     3195593
Mem:        3935120      722602     3011461           1      201056     3195593
Mem:        3935120      722602     3011461           1      201056     3195593
Mem:        3935120      722602     3011461           1      201056     3195594
Mem:        3935120      722600     3011463           1      201056     3195596
Mem:        3935120      722597     3011466           1      201056     3195598
Mem:        3935120      722595     3011468           1      201056     3195601
Mem:        3935120      722594     3011469           1      201056     3195602
Mem:        3935120      722593     3011470           1      201056     3195603
Mem:        3935120      722591     3011472           1      201056     3195604
Mem:        3935120      722591     3011472           1      201056     3195605
Mem:        3935120      722590     3011473           1      201056     3195605
Mem:        3935120      722590     3011473           1      201056     3195605
Mem:        3935120      722589     3011473           1      201056     3195606
Mem:        3935120      722589     3011474           1      201056     3195606
Mem:        3935120      722589     3011474           1      201056     3195606
Mem:        3935120      722590     3011473           1      201056     3195606
Mem:        3935120      722590     3011473           1      201056     3195606
Mem:        3935120      722589     3011473           1      201056     3195606
Mem:        3935120      722590     3011473           1      201056     3195606
Mem:        3935120      722589     3011474           1      201056     3195606
Mem:        3935120      722589     3011474           1      201056     3195607
Mem:        3935120      722589     3011474           1      201056     3195607
Mem:        3935120      722587     3011475           1      201056     3195608
Mem:        3935120      722588     3011475           1      201056     3195608
Mem:        3935120      722588     3011475           1      201056     3195607
Mem:        3935120      722589     3011474           1      201056     3195607
Mem:        3935120      722589     3011474           1      201056     3195606
Mem:        3935120      722589     3011474           1      201056     3195606
Mem:        3935120      722588     3011475           1      201056     3195607
Mem:        3935120      722589     3011474           1      201056     3195606
Mem:        3935120      722589     3011474           1      201056     3195606
Mem:        3935120      722589     3011474           1      201056     3195607
Mem:        3935120      722589     3011474           1      201056     3195607
Mem:        3935120      722589     3011474           1      201056     3195606
Mem:        3935120      722588     3011475           1      201056     3195607
Mem:        3935120      722588     3011475           1      201056     3195607
Mem:        3935120      722589     3011474           1      201056     3195607
Mem:        3935120      722589     3011474           1      201056     3195606
Mem:        3935120      722589     3011474           1      201056     3195607
Mem:        3935120      722588     3011475           1      201056     3195608
Mem:        3935120      722588     3011475           1      201056     3195607
Mem:        3935120      722588     3011474           1      201056     3195607
Mem:        3935120      722589     3011474           1      201056     3195606
Mem:        3935120      722589     3011474           1      201056     3195607
Mem:        3935120      722589     3011474           1      201056     3195607
Mem:        3935120      722588     3011475           1      201056     3195607
Mem:        3935120      722588     3011474           1      201056     3195607
Mem:        3935120      722588     3011475           1      201056     3195607
Mem:        3935120      722589     3011474           1      201056     3195606
Mem:        3935120      722589     3011474           1      201056     3195606
Mem:        3935120      722590     3011473           1      201056     3195605
Mem:        3935120      722590     3011473           1      201056     3195606
Mem:        3935120      722590     3011473           1      201056     3195606
Mem:        3935120      722590     3011473           1      201056     3195605
Mem:        3935120      722590     3011473           1      201056     3195606
Mem:        3935120      722591     3011472           1      201056     3195604
Mem:        3935120      722591     3011472           1      201056     3195604
Mem:        3935120      722592     3011471           1      201056     3195604
Mem:        3935120      722592     3011471           1      201056     3195603
Mem:        3935120      722592     3011471           1      201056     3195604
Mem:        3935120      722592     3011471           1      201056     3195604
Mem:        3935120      722592     3011471           1      201056     3195603
Mem:        3935120      722593     3011470           1      201056     3195603
Mem:        3935120      722593     3011470           1      201056     3195603
Mem:        3935120      722592     3011471           1      201056     3195603
Mem:        3935120      722592     3011471           1      201056     3195604
Mem:        3935120      722592     3011471           1      201056     3195604
Mem:        3935120      722592     3011471           1      201056     3195603
Mem:        3935120      722593     3011470           1      201056     3195603
Mem:        3935120      722593     3011470           1      201056     3195603
Mem:        3935120      722593     3011470           1      201056     3195603
Mem:        3935120      708202     3025861           1      201056     3209993
Mem:        3935120      687762     3046301           1      201056     3230434
Mem:        3935120      667411     3066652           1      201056     3250785
Mem:        3935120      647211     3086851           1      201056     3270984
Mem:        3935120      627101     3106962           1      201056     3291094
Mem:        3935120      606748     3127315           1      201056     3311448
Mem:        3935120      592695     3141368           1      201056     3325500
Mem:        3935120      593822     3140240           1      201056     3324373
Mem:        3935120      595456     3138607           1      201056     3322739
Mem:        3935120      597055     3137008           1      201056     3321140
Mem:        3935120      598650     3135413           1      201056     3319545
Mem:        3935120      600257     3133805           1      201056     3317938
Mem:        3935120      601803     3132260           1      201056     3316393
Mem:        3935120      603303     3130760           1      201056     3314893
Mem:        3935120      605126     3128937           1      201056     3313070
Mem:        3935120      607658     3126405           1      201056     3310537
Mem:        3935120      610701     3123362           1      201056     3307494
Mem:        3935120      614316     3119747           1      201056     3303879
Mem:        3935120      617950     3116113           1      201056     3300246
Mem:        3935120      621573     3112489           1      201056     3296622
Mem:        3935120      625204     3108858           1      201056     3292991
Mem:        3935120      628825     3105238           1      201056     3289371
Mem:        3935120      632455     3101608           1      201056     3285740
Mem:        3935120      636077     3097986           1      201056     3282118
Mem:        3935120      639700     3094363           1      201056     3278495
Mem:        3935120      643332     3090731           1      201056     3274864
Mem:        3935120      646960     3087103           1      201056     3271236
Mem:        3935120      650591     3083472           1      201056     3267604
Mem:        3935120      654217     3079845           1      201056     3263977
Mem:        3935120      657849     3076213           1      201056     3260346
Mem:        3935120      661477     3072586           1      201056     3256719
Mem:        3935120      665106     3068957           1      201056     3253089
Mem:        3935120      668732     3065331           1      201056     3249464
Mem:        3935120      672362     3061701           1      201056     3245833
Mem:        3935120      675980     3058083           1      201056     3242215
Mem:        3935120      679606     3054457           1      201056     3238590
Mem:        3935120      683228     3050835           1      201056     3234968
Mem:        3935120      686846     3047217           1      201056     3231350
Mem:        3935120      690453     3043610           1      201056     3227743
Mem:        3935120      694072     3039991           1      201056     3224123
Mem:        3935120      697697     3036366           1      201056     3220499
Mem:        3935120      701318     3032744           1      201056     3216877
Mem:        3935120      704948     3029114           1      201056     3213247
Mem:        3935120      708567     3025496           1      201056     3209629
Mem:        3935120      712194     3021868           1      201056     3206001
